CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,325,1,77183.6,1,1,5,7,Potential Customer
12347.0,1,7,4310.0,5,5,5,15,VIP Customer
12348.0,74,4,1797.24,2,4,4,10,Loyal Customer
12349.0,18,1,1757.55,4,1,4,9,Potential Customer
12350.0,309,1,334.4,1,1,2,4,Lost Customer
12352.0,35,8,2506.04,3,5,5,13,VIP Customer
12353.0,203,1,89.0,1,1,1,3,Lost Customer
12354.0,231,1,1079.4,1,1,4,6,At Risk
12355.0,213,1,459.4,1,1,2,4,Lost Customer
12356.0,22,3,2811.43,4,3,5,12,Loyal Customer
12357.0,32,1,6207.67,4,1,5,10,Loyal Customer
12358.0,1,2,1168.06,5,2,4,11,Loyal Customer
12359.0,57,4,6310.03,3,4,5,12,Loyal Customer
12360.0,51,3,2662.06,3,3,5,11,Loyal Customer
12361.0,286,1,189.9,1,1,1,3,Lost Customer
12362.0,2,10,5226.23,5,5,5,15,VIP Customer
12363.0,109,2,552.0,2,2,3,7,Potential Customer
12364.0,7,4,1313.1,5,4,4,13,VIP Customer
12365.0,290,2,641.38,1,2,3,6,At Risk
12367.0,3,1,168.9,5,1,1,7,Potential Customer
12370.0,50,4,3541.94,3,4,5,12,Loyal Customer
12371.0,44,2,1887.96,3,2,4,9,Potential Customer
12372.0,71,3,1298.04,3,3,4,10,Loyal Customer
12373.0,310,1,364.6,1,1,2,4,Lost Customer
12374.0,24,1,742.9300000000001,4,1,3,8,Potential Customer
12375.0,10,2,457.5,5,2,2,9,Potential Customer
12377.0,314,2,1628.12,1,2,4,7,Potential Customer
12378.0,129,1,4008.62,2,1,5,8,Potential Customer
12379.0,81,2,852.24,2,2,3,7,Potential Customer
12380.0,21,4,2724.81,4,4,5,13,VIP Customer
12381.0,4,5,1845.31,5,4,4,13,VIP Customer
12383.0,184,5,1850.56,1,4,4,9,Potential Customer
12384.0,28,2,585.27,4,2,3,9,Potential Customer
12386.0,337,2,401.9,1,2,2,5,At Risk
12388.0,15,6,2780.66,4,4,5,13,VIP Customer
12390.0,79,1,549.84,2,1,3,6,At Risk
12391.0,21,1,439.66,4,1,2,7,Potential Customer
12393.0,71,4,1582.6000000000001,3,4,4,11,Loyal Customer
12394.0,63,2,1272.48,3,2,4,9,Potential Customer
12395.0,18,12,3018.63,4,5,5,14,VIP Customer
12397.0,35,2,2409.9,3,2,5,10,Loyal Customer
12398.0,45,1,1635.6599999999999,3,1,4,8,Potential Customer
12399.0,118,4,1108.65,2,4,4,10,Loyal Customer
12401.0,302,1,84.3,1,1,1,3,Lost Customer
12402.0,322,1,225.6,1,1,1,3,Lost Customer
12403.0,49,1,427.7,3,1,2,6,At Risk
12405.0,148,1,1710.39,2,1,4,7,Potential Customer
12406.0,21,2,3415.3,4,2,5,11,Loyal Customer
12407.0,49,5,1708.1200000000001,3,4,4,11,Loyal Customer
12408.0,32,5,2888.55,4,4,5,13,VIP Customer
12409.0,78,3,11072.67,2,3,5,10,Loyal Customer
12410.0,308,2,693.3299999999999,1,2,3,6,At Risk
12412.0,74,3,1226.88,2,3,4,9,Potential Customer
12413.0,66,3,758.1,3,3,3,9,Potential Customer
12414.0,216,3,562.41,1,3,3,7,Potential Customer
12415.0,23,21,124914.53,4,5,5,14,VIP Customer
12417.0,2,9,3649.1,5,5,5,15,VIP Customer
12418.0,112,1,668.58,2,1,3,6,At Risk
12420.0,63,1,600.39,3,1,3,7,Potential Customer
12421.0,15,4,807.04,4,4,3,11,Loyal Customer
12422.0,95,3,803.5600000000001,2,3,3,8,Potential Customer
12423.0,0,8,1859.31,5,5,4,14,VIP Customer
12424.0,162,2,1760.96,2,2,4,8,Potential Customer
12425.0,77,1,777.2,2,1,3,6,At Risk
12426.0,194,1,582.73,1,1,3,5,At Risk
12427.0,21,3,825.8,4,3,3,10,Loyal Customer
12428.0,25,9,7956.46,4,5,5,14,VIP Customer
12429.0,8,4,3750.4,5,4,5,14,VIP Customer
12430.0,42,1,256.4,3,1,2,6,At Risk
12431.0,35,15,6419.95,3,5,5,13,VIP Customer
12432.0,42,5,5059.32,3,4,5,12,Loyal Customer
12433.0,0,7,13375.87,5,5,5,15,VIP Customer
12434.0,84,2,806.14,2,2,3,7,Potential Customer
12435.0,79,2,7829.89,2,2,5,9,Potential Customer
12436.0,99,1,509.01,2,1,3,6,At Risk
12437.0,1,18,4951.41,5,5,5,15,VIP Customer
12438.0,13,2,2906.85,4,2,5,11,Loyal Customer
12441.0,366,1,173.55,1,1,1,3,Lost Customer
12442.0,2,1,172.06,5,1,1,7,Potential Customer
12444.0,20,5,5005.46,4,4,5,13,VIP Customer
12445.0,21,1,133.4,4,1,1,6,At Risk
12446.0,57,1,1002.3100000000001,3,1,4,8,Potential Customer
12447.0,242,1,476.49,1,1,2,4,Lost Customer
